iter	MultiClass
0	1.046494461
1	0.9945754879
2	0.9497445283
3	0.9077377723
4	0.8697560594
5	0.8369379459
6	0.8048695913
7	0.7740338046
8	0.7493470295
9	0.7232284699
10	0.7025492106
11	0.6844685958
12	0.6649728948
13	0.6466531776
14	0.6290224992
15	0.6114144958
16	0.5964919425
17	0.5819800797
18	0.5668791155
19	0.5546684248
20	0.5442639467
21	0.5319892425
22	0.520596124
23	0.511060605
24	0.5023927817
25	0.4923672341
26	0.4828055355
27	0.474844654
28	0.468298413
29	0.4611776502
30	0.4539772182
31	0.4474118028
32	0.4410640229
33	0.4338533671
34	0.4284499549
35	0.4230277755
36	0.4175000223
37	0.4132211644
38	0.4092325229
39	0.4044577577
40	0.399271192
41	0.3945905421
42	0.3895701365
43	0.3858514858
44	0.3820966872
45	0.3785624227
46	0.3753538059
47	0.3722840175
48	0.3688396079
49	0.3656931095
50	0.3624156104
51	0.3590892975
52	0.3557543085
53	0.352726936
54	0.3499992785
55	0.3468734803
56	0.3443330375
57	0.3423124934
58	0.340635033
59	0.3384792435
60	0.3366361114
61	0.3343748671
62	0.3323002162
63	0.3314992992
64	0.3291674514
65	0.3269369381
66	0.3250421755
67	0.3237945549
68	0.3219625769
69	0.3207280313
70	0.319124588
71	0.3176867381
72	0.3162850038
73	0.3148255492
74	0.3134835298
75	0.3118751624
76	0.3105129645
77	0.3092234134
78	0.3076955512
79	0.3067687092
80	0.3064761059
81	0.3053695598
82	0.3040625362
83	0.3026024663
84	0.3017407081
85	0.3005125094
86	0.2997112097
87	0.2991190828
88	0.2981627819
89	0.2971719298
90	0.2961882192
91	0.295124958
92	0.2941064937
93	0.2932028825
94	0.2922743417
95	0.2912547992
96	0.2901149614
97	0.2885102451
98	0.2875416084
99	0.286342056
100	0.2849421824
101	0.2843449511
102	0.2831234619
103	0.2822242161
104	0.2813308225
105	0.2801929736
106	0.2792229289
107	0.278681901
108	0.27718705
109	0.2761902443
110	0.2756055304
111	0.2745488904
112	0.2740677439
113	0.2728322548
114	0.2718753567
115	0.2710566613
116	0.2705042809
117	0.2698428618
118	0.2694783805
119	0.2689504646
120	0.2677646523
121	0.2669050358
122	0.2660554258
123	0.2654228289
124	0.2649970887
125	0.264115502
126	0.2635616331
127	0.2630668139
128	0.2619221513
129	0.2611897922
130	0.2604810286
131	0.259794349
132	0.2590110449
133	0.2585856582
134	0.258005698
135	0.2574881862
136	0.2561985747
137	0.2557815723
138	0.2549319796
139	0.2540120606
140	0.2531493294
141	0.2520165323
142	0.2518872036
143	0.2509523906
144	0.2504933615
145	0.2500996103
146	0.2495557976
147	0.2491591834
148	0.2477939776
149	0.2469278743
150	0.2463382266
151	0.245716316
152	0.2455039406
153	0.2450853881
154	0.243813025
155	0.2429248889
156	0.2421706071
157	0.2413815151
158	0.2410600336
159	0.2408588461
160	0.2401203787
161	0.2397527305
162	0.2392581565
163	0.2385553429
164	0.2383262262
165	0.2377693571
166	0.2373734008
167	0.2367322669
168	0.2360185421
169	0.2356514155
170	0.234730509
171	0.2341578348
172	0.2338762366
173	0.2334353186
174	0.2330733741
175	0.2328733902
176	0.2324212641
177	0.23207078
178	0.2316638315
179	0.2311117025
180	0.2306449165
181	0.2301647344
182	0.2293260433
183	0.2288956371
184	0.2283275131
185	0.2279945857
186	0.2276842354
187	0.2273422466
188	0.2266922212
189	0.2264237978
190	0.2257824866
191	0.2246827437
192	0.2245469568
193	0.2237235341
194	0.2230821224
195	0.2228089171
196	0.2221667283
197	0.2216581706
198	0.2207228325
199	0.2201153327
