iter	Passed	Remaining
0	99	49631
1	151	37683
2	213	35287
3	280	34784
4	329	32656
5	374	30840
6	421	29680
7	463	28531
8	515	28103
9	547	26836
10	592	26346
11	640	26049
12	696	26086
13	760	26385
14	839	27158
15	900	27244
16	949	26962
17	1005	26932
18	1058	26792
19	1114	26741
20	1159	26445
21	1205	26185
22	1237	25656
23	1280	25403
24	1324	25169
25	1374	25063
26	1431	25078
27	1495	25213
28	1547	25139
29	1607	25185
30	1664	25178
31	1708	24990
32	1739	24612
33	1791	24552
34	1842	24481
35	1905	24566
36	1954	24459
37	1986	24149
38	2032	24021
39	2090	24038
40	2138	23941
41	2191	23894
42	2265	24078
43	2305	23889
44	2350	23764
45	2381	23503
46	2415	23280
47	2458	23149
48	2491	22929
49	2527	22747
50	2589	22801
51	2626	22630
52	2665	22476
53	2703	22329
54	2743	22193
55	2787	22104
56	2820	21921
57	2852	21739
58	2893	21625
59	2933	21513
60	2978	21434
61	3019	21333
62	3059	21220
63	3105	21159
64	3151	21092
65	3204	21074
66	3248	20994
67	3312	21041
68	3355	20962
69	3415	20982
70	3451	20852
71	3493	20768
72	3542	20722
73	3602	20740
74	3639	20624
75	3684	20554
76	3736	20528
77	3769	20394
78	3804	20274
79	3871	20323
80	3920	20280
81	3966	20219
82	4024	20218
83	4074	20179
84	4123	20131
85	4186	20151
86	4235	20107
87	4287	20071
88	4333	20013
89	4379	19950
90	4423	19882
91	4467	19812
92	4512	19746
93	4541	19613
94	4574	19501
95	4602	19366
96	4639	19275
97	4686	19223
98	4727	19147
99	4762	19049
100	4811	19008
101	4858	18957
102	4907	18917
103	4957	18878
104	4987	18764
105	5016	18646
106	5046	18534
107	5091	18479
108	5136	18426
109	5176	18353
110	5222	18300
111	5277	18283
112	5306	18174
113	5338	18074
114	5383	18022
115	5415	17927
116	5455	17860
117	5502	17811
118	5535	17723
119	5569	17635
120	5613	17582
121	5649	17505
122	5681	17415
123	5727	17366
124	5757	17271
125	5789	17185
126	5829	17122
127	5885	17105
128	5938	17078
129	5976	17011
130	6027	16977
131	6073	16933
132	6116	16877
133	6169	16852
134	6221	16821
135	6268	16776
136	6320	16747
137	6356	16675
138	6384	16581
139	6425	16522
140	6474	16484
141	6520	16438
142	6562	16383
143	6600	16318
144	6647	16274
145	6691	16225
146	6769	16256
147	6835	16257
148	6876	16198
149	6906	16114
150	6939	16040
151	6972	15963
152	7002	15882
153	7033	15803
154	7080	15759
155	7141	15747
156	7200	15731
157	7251	15697
158	7309	15676
159	7376	15674
160	7423	15630
161	7469	15583
162	7524	15557
163	7575	15521
164	7627	15485
165	7668	15429
166	7724	15402
167	7770	15355
168	7818	15313
169	7865	15267
170	7910	15219
171	7956	15172
172	7997	15117
173	8038	15060
174	8071	14989
175	8110	14929
176	8153	14878
177	8190	14815
178	8222	14745
179	8264	14691
180	8301	14631
181	8361	14609
182	8402	14555
183	8446	14506
184	8488	14453
185	8532	14405
186	8574	14351
187	8615	14297
188	8655	14242
189	8689	14177
190	8734	14130
191	8778	14082
192	8819	14029
193	8860	13976
194	8914	13943
195	8956	13891
196	8998	13839
197	9040	13788
198	9078	13732
199	9119	13679
200	9170	13642
201	9219	13600
202	9264	13554
203	9316	13517
204	9361	13471
205	9408	13428
206	9463	13395
207	9508	13347
208	9538	13280
209	9575	13223
210	9617	13173
211	9663	13128
212	9695	13063
213	9725	12997
214	9763	12942
215	9815	12906
216	9861	12861
217	9914	12825
218	9960	12780
219	10016	12748
220	10073	12717
221	10128	12683
222	10173	12637
223	10220	12593
224	10263	12544
225	10313	12503
226	10356	12455
227	10397	12403
228	10430	12343
229	10458	12276
230	10490	12216
231	10531	12165
232	10571	12113
233	10611	12062
234	10655	12016
235	10689	11958
